energy_log_gev, limit_e2_gev_per_cm2_s_str
3168203.0529588806, 6.844081379696312e-8
10037510.58477797, 2.32488936010228e-8
31800871.67880071, 1.1646450132430071e-8
100751618.7395302, 8.041723862583506e-9
315046010.010087, 5.368202016392843e-9
998129730.736488, 4.616777649189903e-9
3162277660.168392, 5.757292042388389e-9
10018737737.249125, 7.945245864401047e-9
31741395485.946632, 1.2134061783263659e-8
100563186083.75258, 2.0507600231951528e-8
314456789140.97815, 3.646048239965139e-8
1009404044754.6798, 7.296030620151794e-8